anchor,positive,hard_negative
Kylofen 200mg,Acpro 200mg,Kylofen P
Wyspas,Mafwat P,Wyspas 10mg/250mg
Emistal 2mg,Vominaus 4mg,Emistad
Avertrox 500mg,Alvitrox 1gm,Avert 16
Akraxime 100mg Dry,Ellixime 200,Fixtec CV 200mg/125mg
Gozone 250mg,Ceftizer 500mg,Elores 2000mg
Niq 100mg,Unik Junior,Nimuram T 100mg/2mg
Vriace P 100mg/325mg,Caronac-P,Vriace T 100mg/4mg
Ondelina 4mg,Riovom MD,Ondelux P 40mg/4mg
Sanglip 20mg,Tengil 20mg,Sangly-M
Disan,Thioford Plus,Disan-AQ
Taxone O 200mg,Curefeel 200mg,Taxonab 100mg
Digifix 50 Dry,Theoxime Kid 50mg,Fixx AZ 200 mg/250 mg
Mocef 1gm,Crycef 1000mg,Kapicef TZ 1000mg/125mg
Meditrax S 500mg/250mg,Unixone Plus 1000mg/500mg,Medit 4
Tynol 650mg,Aeknil 650mg,Tynol MF Forte 100 mg/250 mg
Acocef,Zax 1000mg,Acocef OF
Ondaco N 2mg Oral,Vomro 4mg,Gendon-O 4mg/20mg
Noack Plus 50mg/10mg,Edase-D 50mg/10mg,Noack P 50mg/500mg
Cardace Meto 5,Starpress R XL 25,Ramilor 2.5mg/50mg
Verpol 325,Fevtus 650,Verpod 100 Dry
Novadase D 50mg/10mg,Dicsun S 50mg/10mg,Novadil-Plus
Eucef,Crinocef 100mg Dry,Eucefrox 500mg
Exocef 1000mg,Ceftiaz 1000mg,Exocef-S 375
Fenceta Novo 100mg/325mg,Aczen-MR,Fenceta MR 100mg/4mg
Lormax 10mg,Awayke 10mg,Lormac 2mg
Ac Zan 100mg,Artigag 200mg,AC ZAN P
ENTECA 0.5 MG,Entabest 0.5,Entechlor
Vomsyt 2mg Oral,Dafron 2mg Oral,Emvon Plus
Nimo 50mg,Onex BN 100mg,Zucet-N 100mg/5mg
Vombest 2mg Oral,Onzum 4mg,Vombest O 4mg/10mg
Recilife SB 250mg/125mg,Edizone SB 500 mg/250 mg,Sulbapod 200mg/150mg
Jonacef 500mg,Tricoflo 500mg,Jonacet 5mg
Dicvolt S 50mg/10mg,Serrof-D 50mg/10mg,Dicvolt AQ 75mg
Acekyor-P,Rozadin Plus 100 mg/500 mg,Neuromol-MR 500mg/400mg
Voltanec PR 100 mg/500 mg,Dolocrat 100 mg/500 mg,Voltaflam
Ralaxim 100,Maxi D 200mg,Ralaxim-LB 200
Raxcef 250mg,Lorisol 250mg,Raxcef TZ 1000mg/125mg
Cerfix 100mg,Skifi 50mg Dry,Cerfix 200 LB
Seexone SB 250mg/125mg,Marxone,Sulbacip 2gm
Fevotran S 250mg/125mg,Cefzen SB 1000mg/500mg,Fevotran 500mg
Ceft 50mg Dry,Cefixsen 400mg,Astafix SB 200mg/150mg
Brumol 250mg,Pacadon-IV,Brumol 400 mg/325 mg
Fulcef 1000mg,Ceftovil 250,Fulcef-S 500mg/250mg
Solo 100mg/325mg,Acycov P 100mg/325mg,Solo 1gm
Hidiclodase 50mg/10mg,Genim-S 50mg/10mg,Hidiclo Plus
Xecute Turbo 200mg/600mg,Lizomac CX,Xecute CV 100 mg/62.5 mg
Yourflox SB 250mg/125mg,Ceftidel-S 1.5gm,Yourflox 1000mg
Flaxinac 200mg,Willgo CR,Flaxinac 100mg/500mg
Nipfone 200,Sefem 200mg,Nipfone AZ 200mg/250mg
Megagesic,ZOLANDIN 50MG,Megagest 200mg Soft Gelatin
Acufenac S 50mg/10mg,Serrawal D 50mg/10mg,Acufen 200mg
Minific P,Wyspas,Minifix CV 200mg/125mg
Aceflow 200mg,Ultimac 200mg,Aceflex Plus 100 mg/500 mg
Rolosol E 50 mg/10 mg,Bypain-S10,Rolospaz
Assmol M Jnr,Jasmol-MF,Assmol 100mg/325mg
Rangecef 1000mg,Ceficorn 500,Astrac-T
Mefanas P DS,Neemef P,Mefan 500mg
Fusinet B,Fedic B,Fusinor 2%
Kranzox,Stangesic MR,Zedser SP
Painoxol C,Dard MR,Pain Off 25mg
Carecef 500,Forixone 500,Carecef TZ 250mg/31.25mg
Aspira-S,Gramol P 100mg/500mg,Aspira MR 60mg/4mg
Corflam Cold,Levovec Cold,Corflo 5mg
J-Ring,Tenistart 20mg,Tendia-P
Ace 125mg Oral,T Dip 650mg,Mefon P
Bronim 100mg,Nimo P 50mg,Nimdad Forte MR
Pacinova MR 325mg/250mg,Oropyrin Plus 500mg/250mg,Pacinova 1000mg
Resichek 1000 mg/500 mg,Traxonol S 500mg/250mg,Resica Kit 35mg/500mg/500IU
Vomirok-MD,Setiset 2mg,Vomirap
C Tum 250mg/125mg,SP Doxime SB 1000mg/500mg,C Tum 250mg
Intapime TZ 1000mg/125mg,Zopime T 1gm/125mg,Intapan
Quinoderm+,Clovina-GM,Quinowin 250mg
Pime TZ 1000mg/125mg,Cedil 500 mg/62.5 mg,Ultipime 500mg
Miczone-S 375,Gcef S 250mg/125mg,Zatsa S 1000mg/500mg
Maxfla,Monogesic -MR,Maxflam P 100mg/500mg
Raymox 250mg/60Million spores,Amoxyoj 500 LB,Raymoxy 500mg
Glacef 250mg,Iftrex 250mg,Glacef 200 LB
Thermaset C2,R Mol Oral,Gemkof 4 mg/10 mg
Babygesic 125,Recofast 650,Babygest 200mg
Ceficope 50mg Dry,Tox O 200mg,Zefocef-O
Denver 2mg,Vomsyt 4,Cool Zone-O 4mg/10mg
Ofnic TZ 200mg/600mg,Opec TZ,Ofnic 200mg
Nimsan 100mg,Osonim 200mg,NIMSAID 100MG/10MG
Calpol 1000mg,Junimol RDS 170mg,Setolac-P
Autfate O,Grucid O,Oxid MPS
Terzo 100 mg/500 mg,Exclo P 100mg/325mg,Terzole Forte 200mg
Imicef 500mg,Niczone 1000mg,Imicef S 1000mg/500mg
Zylocef 200mg,Aicifix 200mg,Zylocef 500mg
Redufen 100mg,Aspifast,Redufat 27mg
Astar P 100 mg/500 mg,Shaguflam P 100mg/325mg,Astarest
Anace 100mg,Aginac 200mg,Anacef 500mg
Nexcef 100mg,Avitacef 200 DT,Nexcef 125mg
Rofaclo P 100 mg/500 mg,Acenaac Plus 100mg/325mg,Rofact 50mg
Qnan 4mg,Votrox 4mg,Rafron Total
Competrex 2gm,Vepa 1000,Competrex-S 1gm/0.5gm
Acevno-Plus,Flex P 100 mg/500 mg,Acevno TC 100mg/4mg
Avcef 1000mg,Rimceft 250mg,Avcef TZ 250mg/31.25mg
Acixone 125mg,C One 1000mg,Acixone-SB 1500mg
Vellcef 50mg Dry,Emfix 50mg,Bioxime OX 200mg/200mg
Apgesic,Acklogal-SP,Apgest
Gettiban 500gm,Corcef 500mg,Gettifen-P
Nvixo 500mg,Shoncef 125mg,Nvixo S 250mg/125mg
Carecef 500,Cezone Plus 1.5gm,Carecef 200 LB
Trinac P 100mg/500mg,Dolite P 100mg/325mg,Trinaclav 500mg/125mg
Dolopar M,Meferest-Plus,Dolopred 1%
Dramol-MF,Framol M,Dramox 0.5%
Mlid 100mg,Knott 50mg,Defidrot N 80mg/100mg
E-Rab IT,Vilflux IT 20 mg/150 mg,Dicloreb 100mg/20mg
Zeoceft S 250mg/125mg,Exocef-S,Zeocet-M
Cirmon 4mg,Soltron 2mg,Cirmox-AX
Magnakof-DX,Tricold-CS Syrup Strawberry,Magnabid 500mg/500mg
B Zone 250mg,Ngcet 1000mg,B Zone XP 250mg/31.25mg
Fluticasone + Mupirocin,Muply F,Nazomac-F
Ogliz 0.3mg,Shambose 0.3mg,Voglejen ZM 500mg/0.2mg
Megamove P 100mg/325mg,Sired P,Megamox-CV 625
Choicepar 100mg/325mg,Cylonac-SP,Choiceclav Dry
Delonix-P,Medlofenac P 100mg/325mg,Delonate 50mg
Netoxim 50mg Dry,Ulcef O 100mg,Topcef DC
Dexarab IT 20mg/150mg,Intedom-IT,Dexarab D 30mg/20mg
Kwikcef 50 Dry,Zanroxim 200mg,Kwikcef-O
Nimind 100mg,Nimdol 100mg,Nimind S
Cezizone 1000,Keytrox 1000mg,Xolycef TZ 1000 mg/125 mg
Kufcold,Coldexbio,Kufcol D
Fexinex 200mg,Cefiwal 100mg,Fexin 120mg
Mincef 500mg,Cencef 1000mg,Mincef-S
Siclo Plus 100mg/325mg,Xtra P 100 mg/500 mg,Revcold
Kefex 200mg,Zefix 200mg,Kefexyl 125mg
Smopara 650mg,Parabig,Smopan D 10mg/40mg
Cita 500mg,Fevalik 500mg,Cita 40mg
Reqdic-S,Dexonac S 50mg/10mg,Reqdic-SP
Ancef 125mg,Zicef 250mg,Ancef 500
Crocef 100mg,C Cef 50mg,Crocemol 650mg
Anaflam Xps,Dinum AP 100mg/325mg,Anaflox H
Ometic 2mg/5ml,Olron 4mg,Ometiru D 10mg/20mg
Hemocrat 250 mg/250 mg,Ethems 250mg/250mg,Tyrodin Plus
Vomtyp Oral,Ondarit 8mg,Ranidom ON + Rantdn
Zirlon Plus,Piritexyl Cough,Zirlon AH
Mefzor-P DS,Mefson P,Solgesic 325mg/10mg
Polyfate O,Sucrace-O,Polyfic Plus 5MIU
Cefaval-SL,Haxone-S 1.5gm,Amoctam G 1000mg/500mg
Acedol P 100 mg/500 mg,Cencex P 100mg/325mg,Acedox O 200mg
Bexim O 100mg,Zexime 50mg Dry,Kyocef-SB 200mg/150mg
Paintol AP,Qnac-SP,Paintrol 325 mg/37.5 mg
Paraked Oral Suspension Strawberry Sugar Free,Gapmol 250mg,Paraked-Plus
Pecef SB 1000mg/500mg,Vicxone S 500mg/250mg,Pecef Duo 200
Amcef 50mg Dry,Almocef 50mg Dry,Amcef 1000mg
Corinite,Rynkold-DS,Corinite DS
Mediface P,X-Nac 100mg/500mg,Mediflu 150mg
Hosnim 250mg,Paraband 650mg,Hosnim M DS
Zactane 20mg,Famorila 40mg,Zactam 2000mg/250mg
Metifex 200mg,Curexime 200mg,Metifex SI 250mg/125mg
Cefobak 500,Seftri 1000mg,Cefobid 50mg
Dotcoff,Ventucof DM,Dotcoff M
Xoneden SB 1000mg/500mg,Colxone S 500mg/250mg,Fixlen SB 200mg/150mg
Mefnacid-P,Nimci P,Mefna DR 80mg/250mg
Vogisa 0.2mg,Volboz 0.2,Vogisir M 500mg/0.3mg
Monowell,Tecef,Monoworm 400mg
Avizox,Neozox,Avizol-D 10mg/20mg
Ceft 100mg,Cefport Dry,Ceft 1000mg
Metclo GM,Recon GM,Metclam Forte
Antazit-O,Lucral O,Antazer RD 30mg/40mg
Stalix 100,Sitdc 50mg,Dapaglyn S 10/100
Vecol 200mg,Arcil 200mg,Kicpain XL
Miczone 1gm,Castop 500mg,Miczone T 250mg/31.25mg
Denim,Nimulis 50mg,Nimdad Forte MR
Enlacid-O,Arogene O,Enlacard 5mg
Cefroxe 250mg,Tri 250mg,Cefrorix 500mg
Emiset 2mg,Vomcon 2mg Oral,Satron Plus 2 mg/125 mg
Nine 10,Microkold DS,Nine 300mg
Nexef O 250mg,X Cept 1000mg,Elores 2000mg
Cim O 200mg,Labocef 200mg,Sulbafix 200mg/150mg
Xylo,Xylocard 2%,Epilido
Jaducef S 500mg/250mg,Shoncef-S 1000mg/500mg,Confector
Aceforce 100mg,Aclonac 200mg,Zerodol-PG 200/75
Loremfix 50mg Dry,Zeox 100mg,Buceff CV 200mg/125mg
Vomilac 4mg,Domar O 2mg,Ondem P 4mg/500mg
Advantac 40mg,Tobur 40mg,Advance 250mg/125mg
Lynace P 100mg/325mg,Asef-SP,Lynacox
MY Relief-SP,Zacrol-SP,Rockon 100mg/2mg
Briscef S 250mg/125mg,Cerohex 250mg/125mg,Briscef 200mg
Dolokind AA,Infladent P 100mg/325mg,Dolokind 100mg
Vokem 0.2mg,Vogisa 0.2mg,Zuvog-M 0.2
Jonacef 1gm,Trox 1gm,Jonac 100mg
Lotemp Oral,Delceta 125mg/5ml,Lotemed
Powercef XP 1000 mg/500 mg,Rifone-S 1000mg,Powercoxib 20mg
Forone-SB 500mg/250mg,Ceftrin-S 250mg/125mg,Forone 500mg
Quincef 50mg Dry,Zestocef 100mg,Quincad 200mg
Ionocef 100mg Dry,Carly DS Dry,Ionocef-CV Dry
Jenfix 100 DT,Bygocef 200mg,Jenfix-LB 200 DT
Lifexone 1000,Mytrik 250mg,Lifexime-200 LB
Rexinorm 125mg,Pyrilot-Plus,Rexinim 400
Cefscan 200 DT,Ikva-Cef Dry,Cefscan 1gm
Acenift P,Celodol-P,Tolzyp P 150mg/325mg
Nitocef S 500mg/250mg,Dxone S 500mg/250mg,Merock S 1000mg/500mg
Elnac P,Acec P 100mg/325mg,Elnac TH 100mg/8mg
Rimceft 500mg,Woxton 250,Rimceft-S 250mg/125mg
Aptflam-SP,Aceron TC,Aptflam-T 100mg/4mg
Adenac MR,Wikigesic MR,Dinsa 50 mg/100 mg
Voglip 0.3mg,Volabay 0.3,Voglinorm-GM2
V Glib 0.2mg,Vogol 0.2mg,V Glib Met 500mg/0.2mg
MERIMOL,Parawin 650mg,Drojeen-Plus
Acetrial P,Fillace TP 100mg/325mg,Acetra
Pace 125mg,Hbmol 10mg/ml,Seract P 500mg/10mg
Pazocef 200mg,Creo 200mg/5ml,Pazocid O
Trexorix E 500mg/250mg,Bloc T 250mg/250mg,Stop MF 500mg/250mg
Rivace P 100mg/500mg,Nodol P 100mg/325mg,Rivacor 10mg
Actiz P 100mg/325mg,Mandnac P,Actiz 100mg
Xynac P 100mg/325mg,Amsek P 100mg/325mg,Xynac TH 100mg/8mg
Alencef 200mg,Axim 200mg,Alencef 1000mg/500mg
Trance ET 250 mg/250 mg,Haemarex Plus 250mg/250mg,Trancodol DT 1.5
Cefluv 200mg,Raxcef 200mg,Ceflus 50mg
Xolodic,Serrahex D 50mg/10mg,Xolodic-SP
Glosium 1000mg/500mg,Datrix S 250mg/125mg,Glosium 1000mg
Awnacef 500mg,Ramtrax 1gm,Awnacin 100mg
Aplomol 250mg,Halcet,Aplomin AT 5mg/50mg
Heal Flam 100mg/500mg,Oace P,Inflagesic
Zrepag MF 2mg/500mg,Repomine M 2mg/500mg,Zrepag Rapid 0.5mg/0.3mg
Mefzic P,Conipar M DS,Licomol Plus
Vriace 200mg,Acen,Vriace RB 200mg/20mg
Worcef 50mg Dry,Oacef 50mg,Worcef 500mg
Ninza S,Dalnac-MR,Ninzatrip
Odistro 4mg,Ondizip 4mg,Odister 5mg
Gofate OX,Stancool,Gofate O 1000mg
Kalovac-SP,Darinac SP,Kalovac-TH
Kohmol P,Zacrol P,Kohmol T 100mg/4mg
Pedicef 100mg,Aroxim 100mg,Pedicalm
Bioixi 200mg,Cefine 50mg Dry,Bioixi 200 LB
Cefkia 500mg,Wikxon 500mg,Cefkill 250 DT
Zenotin 200 mg/600 mg,Doact TZ 200mg/600mg,Zenotic Kit 20mg/2ml
Cefixwell 50,Cefind 200mg,Cefixwell 200 LB
Emtrix 250mg,Monotax 1000mg,Emtri S 1000mg/500mg
Trozan 1gm,Doczone 1gm,Trozan OD 300mg/10mg
Eboo 500mg,Paarmol,Limorise P 4mg/325mg
Paraband 500mg,Pacadon-IV,Parabig M Forte
Ceficorn 500,Mexcef 250mg,Ceficorn 100mg
Mefrex P,Pacimol MF,Sinarest LP
Dakmol-D,Seravir D 50 mg/10 mg,Dakmol-MR
Seffix 200mg,Stecef 200mg,Seffix CV 200mg/125mg
Sainzen-K,Clo-S,Sainzen 10mg
Azibit 500mg,Althral 250mg,Azibit 500
Cubinac P 100mg/325mg,Actmol 100mg/325mg,Intramoto A 100mg/50000AU
Fagmol M,Mippo Plus,Fagmol 650mg
Xetocef 1000mg,E Cef 250mg,Blexone S 250mg/125mg
Alenzer P,Edoclof-RB,Alenzer-T
Amol 500mg,Actiflu 500mg,Adcospas
Damfix Dry,Asticef 100mg Dry,Ceftas AL 200mg/60mg/40 Millioncells
Sanmol 500mg,Onpar 250mg,Sanmox 250 DT
Gocef-S 375,Ethyricef S 1000mg/500mg,Gocef TZ 1000mg/125mg
Atracef T 250mg/31.25mg,Actamase 1000 mg/125 mg,Ipime-S 1000mg/500mg
SP Doxime 500mg,Ceftrix 250mg,SP Doxime 200mg
Niplonac P 100mg/500mg,Aclodac P 100mg/325mg,Niplonac 200mg
Meganac,Zed P 100mg/325mg,Sneezy
Zodon 4,Hisetron 4mg,Zodon 2mg
Twagic 100 mg/325 mg,Aclofen P 100mg/500mg,Fortagesic
Evimol 250mg,Denim P 500mg,Evimox 250mg
Defcon S 50mg/15mg,Lysenze-D,Defcort 12
Intacaine 2%,Xcin,Intac 25mg
Retopyrin 250mg/5ml,Para Para 650mg,Infen P
Zesiron 2mg,Ashwron 2mg,Emvon Plus
Tusban-D,Caredex-DX,Tusban-A
Traxo 1000mg,Mecacef 1000mg,Vanco Plus 2000 mg/1000 mg
Chlorzoxazone + Paracetamol,Supergin 500 mg/250 mg,Cold Relieve
Flamtop 100mg/500mg,Polobit-P,Flamtop 200mg
Ezeepara 125mg,Krinmol 650,Ezeepam 5
Neemo 100mg,Rinim,Neemo Plus 100mg/500mg
Gasobet-O,Sucranith Plus,Gasobet-M
Repamet 1mg/500mg,Reglide Plus 1mg/500mg,Repam 5mg
Norinac-SP,Chymophi AP 100mg/325mg,Norinac-SR
Pangraf 2,Tcoglob 0.5mg,Pangro Oral Solution Sugar Free
HAXONE S INJECTION 1000 MG/500 MG,Cefinet S 1000mg/500mg,Haxone-T 1.125gm
Stucef 100 Dry Syrup Pineapple,Evicef Oral,Stucef OF 200mg/200mg
Q Trex 1000mg,Cefde O 500mg,Q Trex S 1000mg/500mg
Cefvista SB 250mg/125mg,Desicef S 500mg/250mg,Sulbapod 200mg/150mg
Clyora-P,Sinus 77,Clyora Oral
Lafutax D 10 mg/30 mg,Lafaxid-D,Deemo D 30mg/40mg
Nosocef-S 1.5gm,Ronixone-S 750,Nosocef 1000mg
Adlecof D,Solvin 2mg/10mg,Adlecyp
Nimsco 100mg,Nimel 100mg,Nimsco-P 100mg/325mg
Diczone Plus,Muscodac MR,Diczoc-Plus
Aedig 0.2mg,Medivog 0.3mg,Vobit R 1mg/0.3mg
Cefox 100mg,Fiximark 100mg,Cefoxtil 250mg
Seren D 50mg/10mg,Dilcoss,Serentin 5 mg/2 mg
Wellvodi 4mg,Ontril 2mg,Wellvisco L
Dolopac SP 50 mg/10 mg,Sharp D 50mg/10mg,Doloplus 50mg/325mg
Mucotrip-D,Fenap-S 50mg/10mg,Mucotrip-DS
Acewin 200mg,Aclonac 200mg,Acewin Plus 100mg/500mg
Nexace-Plus,Xmoflam SP,Nexaclear 100mg/600mg
C Let O 100mg/5ml,Cefcet 200mg,Dalsix CV 200mg/125mg
Mefpra,Mefmac-P,MEF-Proxyvon 250mg/10mg
Wintex 250mg,Troxin 1000mg,Wintex S 1000mg/500mg
Zimspor 200mg,Recef O 200mg,CEFOCEF XL
Losazar H 50mg/12.5mg,Mainstay H 50 mg/12.5 mg,Losazart 25mg
Valfoed 2mg,Dolstan,Valfox 200mg/87mg
Aploxim 50 Dry,Grafix 50mg Dry,Aploxim 200 LB
Sitacose 100,Glura 100mg,Sitaday M 50mg/1000mg
Fenu-SP,Asifen 100mg/500mg,Ibudence
Celfast 100 mg/500 mg,Acelopara 100mg/325mg,Celfast MR 100mg/4mg
PYROCARE 150MG,Paracetapro 650mg,Filistin CC
Neflo P 100mg/325mg,Paraever P 100mg/325mg,Oromol Pead 150mg
Tosscold,Anatryl 500mg/4mg,Tosscold D
Anoflox TZ 200mg/600mg,Zanobid TZ 200mg/600mg,Oflatop D Eye/
Truxone 1000mg,Becef 1gm,Truxor TD 50mg
Dorfix 100 DT,Fexiver 200mg,Dorfix CV
Safronac 100mg,Aroff 200mg,Safroxim 250
Meftus P,Meflomak,Meftus D 10mg/250mg
Emstem Oral,Onkem 2mg Oral,Nupan O 40mg/4mg
Mytors Plus 50mg/10mg,Dytor Plus 10,Mytor 10mg
Sitnac P 100mg/325mg,Valus AP 100 mg/500 mg,Sitnac T 100mg/4mg
Everdox T 5mg/400mg,Fildox T 5mg/400mg,Doxoll Plus 200mg/30mg
Vercefta 750,Rosucef 1000mg,Vercet 10mg
Nexrel E 250mg/250mg,Mesitran Plus 250mg/250mg,Nexret AB
Benlar-P,Mathidol P 100mg/325mg,Camyfyl 25mg/300mg
Cap Tablet,Activent Kid,Zyntap P 50 mg/325 mg
Zifcef SB 250mg/125mg,Leceft-S 375mg,Almeron S 1000mg/500mg
Glonac 250mg,Twinmol 125mg,Glonac 100mg
Theracef SB 1000mg/500mg,Triglan S 1000 mg/500 mg,Taxone XP 500 mg/62.5 mg
Chlorpheniramine + Paracetamol,Rintazin Cold,Carespas CP 25mg/300mg
Navmef Forte,Pararest M,EXPERGESIC 500MG/15MG
Pincef 200,Cefitoss 100mg Dry,Pincef-O
Gemislan 200mg,Gempower 200,Gemita 1000mg/62.5mg
Emeran 4mg,Ondawell 2mg Oral,Emerab D 30mg/20mg
Stifen P,Aceoj-P,Neuromol-MR 500mg/400mg
Sepdase D 50mg/10mg,Sacdase-D 50mg/10mg,Sepdase 5mg
Acdac-TC,Vaxace-P,Kaff Ped
Shoncef 500mg,Ceftmax 1gm,Shoncef T 250mg/31.25mg
Clomipure 100,Bestova 100,Enphene 25mg/30mg
Indon 4mg,Vomond 2mg,Indonet 75mg
Ultifix 200mg,Gofix 200mg,Ultifix CV 250 mg/125 mg
Vinofen 650,Erimol 250mg,Vinofen SP
LMX 500,Mox P Kid 250mg,LMX 250mg Dry
Sifix 200mg,Fixzim O 200mg,Kainixim CV 200mg/125mg
Saramef P,Pacimol MF,Saramox CV 1000mg/200mg
Nimbid 100mg,Nex Kid,Nimbit-P
N Cef 200mg,Bestocef 200mg,N Cef 1000mg
Fixilix 100mg,Sefem 200mg,Ethixime SB 200mg/150mg
Ostonim,Nimaid 100mg,Dase N 100mg/10mg
Timecef 200,Cezifix 50,Timecef-O
Starpace-MF 250mg/500mg,Mygut P,Starpod-CV 200mg/125mg
Numinac-SP,Zencast-MR,Peale
Alonac 200mg,Acijen-SR,Alona Plus
Welrab IT 20mg/150mg,Rabiriv IT 20mg/150mg,Welrab-L
Unik Junior,ZOLANDIN 50MG,Lupisulide D
Diclofen MR,Volt-MR,Nervshine
Emzosin D 10mg/0.5mg,Z Alfu D 10mg/0.5mg,Emzosin
Painease SD,DavaIndia Diclofenac+Serratiopeptidase 50mg/10mg,Painease
Cefocef 1000mg,Sceft 2gm,Cefocef 200mg
Molnac-SP,Indamol AC 100mg/500mg,Molnatris 200mg
Cefpen S 500 mg/250 mg,Fevotran S 1000mg/500mg,Xplocef 2000 mg/1000 mg
Mefril MF 250mg/325mg,Meflonez DS,Flano
Myoflam A 100mg/325mg,Pyrigesic A 100mg/325mg,Myoflex 8mg
Rabvid IT 20mg/150mg,Reeb IT 20mg/150mg,Rabvive 20
Acronac 200,Canefo 200mg,Myodase 100mg/15mg
Apazine S,Sanofinac XP 100mg/325mg,Apazine 100mg
Katron 2mg,Ondo Zip 4mg,Pezover ON 40mg/4mg
Mefscot P,Ziyanil M,Coldrif
Habocif 50mg Dry,Finus 100mg,Habocif LB 200mg
Walcin Plus 100 mg/500 mg,Seraheal,Walcip 250mg
Nexpar-ISR,Molra 250mg,Nexpan 20mg
Konet 500mg,Snotrax 500mg,Elores 3000mg
Krypxem O 50mg Dry,Feeximm 200,Krypxem O 200mg
Cefixent 200,Worcef 50mg Dry,Itox CV 200mg/125mg
FE Stop 150mg Oral,Ivnicemol 1000mg,Dropar 80 mg/500 mg
Eterna 4mg,Ometic,Eternex-M 500
Zioxim 50mg Dry,Corvette DS,Zioxim O 200mg/200mg
Arsecef 1500,Tancef S 250mg/125mg,Arsecef 1000
Mirafenac P 100mg/325mg,Aclopic SP,Mirafast 50mg
Kapdox CL 100mg,Wificef 50mg,Kapdox 100mg
Proxyflam-SP,Acefe-MR,Proxym-XT
Medicef 50mg Dry,Fixrin 100mg,Audicef LB 100mg
New Soltec-GM,Oyosol GM,New Softdrops Lubricating
Cuffase DX,Resput,Cuffase A Syrup Sugar Free
Teracot,Zeemol 125mg,Tera Cold
Voglius 0.2mg,Voglitus 0.2mg,Delbose M 500mg/0.3mg
Nestra D 50mg/15mg,Norton Dps,Nestran MF 500 mg/250 mg
Warine S 1000mg/500mg,Befotrik S 1000mg/500mg,Vanco Plus 1000 mg/500 mg
Nimugee,Gesnim 100mg,Nimugold P 100mg/325mg
Nimax 100mg,Sonulid,Nimax 100mg/325mg
Trypsen AP 100mg/325mg,Ice-T 100mg/4mg,Trypsimed BRD
Onfresh 4mg,Vomdo-MD,Ranidom ON + Rantdn
Redux 650mg,Flumol 125mg/5ml,Dicoj P 50mg/325mg
Zicfi SL 1000mg/500mg,Tecxone Forte 1000mg/500mg,Zicfi 1000mg
Aptacef 250mg,Aelcef 500mg,Aptacef T 1000mg/125mg
Micromol Kid,Parasafe 250mg/5ml,Snizid Plus
Ceex 50mg Dry,Verixime 100mg/5ml,Taxclav 200
Inflox LB Forte 500mg,Mox P 125mg Redimix,Inflobid OZ 200mg/500mg
Ondykav 8mg,NV Stop 4mg,Altopraz-O
Kubmol Oral Drops Strawberry,Arismol-DS,Satron Plus 4 mg/500 mg
Xxone S 1000mg/500mg,Xpod S 1.5gm,Xxone 500mg
Jnfix 50mg,Pinfix 200mg,Cefi L 400 mg/500 mg
Vetory 200mg,Movexx,Vetory 120
Pnefix 200mg,Lupicef O 100mg,Ceftus Clav 200mg/125mg
Acefon Plus,Pain X MR,Aceforce 100mg
Fexacef 1000mg,Magtrax 1000mg,Fexacef 25mg Oral
Dolset P 100mg/325mg,Hetrofen P,Dolset P 37.5mg/325mg
Torlactone LS,Toriflow S 50mg/10mg,Urecton Plus 20 mg/50 mg
Dicomol S 50mg/10mg,Everflam-S,Dicomox 250mg/250mg
Unitax O 100mg,Formic O 50mg Dry,Ceficacy-CV 200mg/125mg
Thermaset M2,Tromanil Plus,Thermaset C2
Nyoflam P 100mg/325mg,Aceclo Plus,Osteoace-R
Emcef MD,Vendon 4mg,Emcef 1000mg
Neo Lox OR 10mg,Forutin 100mg,Neoloterx
Kospar 1000mg,Jetmol,Kospar D 10mg/325mg
Jexone S 1000mg/500mg,Offing SB 1000mg/500mg,Jexone 1gm
Cbtaz 1.125gm,Emipime TZ,Desipime 1000mg
Lincol CX 200mg/600mg,Fincef L 200mg/600mg,Pulmocef LZ
Cefheal 100 DT,Foraxime 100 Dry,Cefhex 250mg
Indofix 50mg,Leuxim 100mg,Indofresh
Xoneden 1000mg,Trixon 250mg,Xoneden SB 250mg/125mg
Ceflab 200mg,M2 Cef 200mg,Xcef CV 200mg/125mg
Aceflec-MR,Chymoheal,Aceflu 150mg
Bicilin Kid,Moxysung LB 500mg,Medscef 200 LB
Angiset 4mg,Onvin 2mg,Angised 0.5mg
Hytrek S 250mg/125mg,Zicfi SL 1000mg/500mg,Hytrek 250mg
Arifix LB 50mg Dry,Fixcott 100mg,Arifix-OZ 200mg/500mg
Doxocef 1000mg,Infocef 250mg,Doxocef S 1000mg/500mg
Clobit 200mg,Nusaid 1.5%,Clobin
Varncef 100mg,Cefina 50mg,Varnceft 500mg
Ionocef 100mg Dry,Xme 50mg,Cefi L 400 mg/500 mg
Ediflam D,Enzoace 100mg/325mg,Ediflox OZ
Nimkul 200mg,Osonim 200mg,Nimkul CZ 100mg/250mg
Zorbten 20mg,Tenlitab 20mg,Zorbten MF 500mg/20mg
Lupifenac S 50 mg/10 mg,Dexonac S 50mg/10mg,Lupiflam M
Clotof M,Avsol-GM,Candifem
Xetra 500mg,Rohzon 1000mg,Xetra T 1000mg/125mg
Trifix 50mg Dry,Kefixim 100mg,Trifix 200
Ventucef 200mg,Oritaxim O 200,Cefimak DX 200mg/500mg
Fortral KT 10mg,Doloket LS,Ketox
